room_num,de:9f:db:91:0e:dd,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,66:eb:8c:0b:20:6e,fa:8f:ca:76:7d:4c,74:3e:2b:bd:7e:12,74:3e:2b:bd:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:3d:7e:18,74:3e:2b:7d:86:b8,40:a8:f0:6b:41:44,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,30:46:9a:fb:c5:a3,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:7e:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:3e:9d:6c,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:7e:9c:dc,74:3e:2b:7c:b6:88,74:3e:2b:be:88:22,74:3e:2b:be:9d:62,74:3e:2b:7c:d2:d8,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:7d:6d:48,74:3e:2b:bc:fb:7c,74:3e:2b:7c:fb:7c,74:3e:2b:7c:fb:78,74:3e:2b:3e:9d:68,74:3e:2b:7e:9d:68,74:3e:2b:be:9d:68,74:3e:2b:be:c7:12,74:3e:2b:be:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:3e:c7:18,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:be:88:28,74:3e:2b:7e:88:28,74:3e:2b:3e:88:28,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:be:c7:52,ec:8c:a2:f2:7a:b8,74:3e:2b:be:1f:e8,74:3e:2b:3e:1f:e8,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:bc:fb:72,74:3e:2b:3c:fb:78,74:3e:2b:be:c7:58,32:cd:a7:fc:3b:2b,74:3e:2b:be:1f:e2,74:3e:2b:be:9c:d8,74:3e:2b:bd:86:b2,74:3e:2b:3d:86:b8,74:3e:2b:bc:d2:dc,74:3e:2b:7c:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:be:a3:38,74:3e:2b:7d:04:d8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:7d:6f:88,74:3e:2b:3d:6f:88,74:3e:2b:be:9c:d2,74:3e:2b:7e:9c:d8,74:3e:2b:3e:9c:d8,1c:b0:44:cd:a2:48,74:3e:2b:bc:b6:8c,74:3e:2b:3c:d2:d8,b4:2a:0e:c7:0f:ae,74:3e:2b:7e:c7:58,74:3e:2b:bc:d4:22,74:3e:2b:7c:d4:28,74:3e:2b:3c:d4:28,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,ae:63:be:86:5c:03,74:3e:2b:bd:6d:42,74:3e:2b:3d:6d:48,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7d:6e:68,14:2d:27:37:99:60,74:3e:2b:3d:6e:68,74:3e:2b:bd:04:d2,74:3e:2b:3d:04:d8,74:3e:2b:7e:1f:e8,c8:3a:35:90:b2:11,78:29:ed:4c:b2:51,74:3e:2b:bd:6f:88,fa:8f:ca:54:a2:6d,74:3e:2b:bc:b6:82,74:3e:2b:3c:b6:88,74:3e:2b:bd:6f:82,a0:64:8f:f7:d1:1d,74:3e:2b:7c:d5:08,40:49:0f:c3:fa:7b,74:3e:2b:bc:d2:d2,74:3e:2b:3e:c7:58,b8:ee:0e:d6:53:72,74:3e:2b:fe:88:2c,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,f8:f5:32:28:2d:c0,74:3e:2b:be:a3:32,74:3e:2b:fe:c7:5c,74:3e:2b:bd:04:dc,a8:9a:93:8a:84:7e,a0:8c:fd:6c:7d:10,2c:30:33:f8:b8:b9,b4:2a:0e:10:47:0a,10:86:8c:18:48:e8,74:3e:2b:be:c7:5c,74:3e:2b:3c:b6:8c,58:90:43:45:2b:e4,74:3e:2b:7d:6a:e8,74:3e:2b:7c:b6:8c,74:3e:2b:7e:c7:5c,74:3e:2b:3e:c7:5c,74:3e:2b:7e:88:2c,74:3e:2b:be:88:2c,74:3e:2b:7d:05:58,74:3e:2b:3e:88:2c
2,26,98,102,98,40,76,70,68,70,70,46,66,48,66,48,0,44,42,42,42,36,44,46,46,78,78,78,46,38,38,74,74,74,72,46,0,48,130,32,28,72,42,70,72,72,54,36,36,60,72,72,68,74,80,74,74,0,0,0,24,30,24,0,0,0,0,58,34,28,46,46,60,60,0,0,30,136,42,44,0,0,0,0,34,0,0,36,34,134,132,132,0,0,46,30,0,52,52,52,52,52,26,0,56,0,0,0,22,0,34,34,30,0,18,30,0,28,30,34,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,96,100,98,48,72,64,64,70,70,46,48,48,64,50,0,42,42,42,42,34,46,46,46,78,78,78,46,38,38,74,72,74,72,46,46,46,130,32,28,72,42,70,72,72,54,36,34,60,72,72,68,74,80,74,74,0,0,0,24,30,24,28,28,30,0,58,34,28,0,0,60,60,0,0,30,138,42,44,0,0,0,0,34,0,0,36,34,134,132,132,0,0,46,30,0,52,52,52,52,52,26,52,54,0,0,0,22,0,34,34,30,0,18,34,0,28,30,34,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,100,98,50,76,70,68,72,72,46,66,48,64,52,46,42,40,40,42,36,44,44,44,78,78,80,44,38,38,72,72,74,72,46,0,0,130,32,28,70,42,70,72,72,54,36,38,60,74,72,60,80,78,80,80,130,130,130,24,30,24,28,28,30,0,58,34,28,46,46,60,60,0,0,30,140,42,44,0,0,0,0,34,0,0,36,34,134,132,132,0,0,46,30,0,52,52,52,52,52,26,52,54,0,0,0,22,0,34,34,30,0,18,34,0,28,30,34,0,16,0,46,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,98,98,50,74,72,68,72,72,46,70,48,64,48,0,42,44,44,42,34,46,44,44,78,78,78,44,38,38,74,72,72,72,44,44,44,130,32,28,70,42,70,72,72,56,38,36,58,74,72,60,80,78,80,80,0,0,0,24,30,24,0,0,0,0,58,34,28,0,0,60,60,0,0,30,140,42,42,26,24,0,28,34,28,30,36,34,134,132,132,0,0,46,30,0,52,52,52,52,52,26,52,56,0,0,0,22,0,34,34,30,0,18,34,0,28,30,34,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,82,100,98,44,76,72,68,72,70,42,68,48,66,48,0,42,42,42,42,34,46,46,46,78,78,80,44,38,38,72,72,70,72,0,46,46,130,32,28,72,40,70,72,72,56,36,36,58,72,72,66,80,74,80,80,128,130,130,24,30,24,30,26,28,0,58,34,28,46,0,60,60,0,0,30,138,42,42,0,0,0,28,34,0,0,36,34,132,132,132,0,0,44,30,0,52,54,52,52,52,26,52,56,0,0,0,22,0,34,34,30,0,18,34,0,28,30,34,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,82,98,98,50,50,72,68,72,70,42,66,48,64,0,0,42,42,42,42,32,46,46,46,78,80,78,46,38,38,72,72,72,72,46,46,46,130,30,26,72,40,70,72,72,56,38,38,58,72,72,66,80,76,80,80,0,0,0,24,30,24,0,0,0,0,58,32,30,0,0,60,60,0,0,30,136,42,42,26,24,24,28,30,30,0,36,34,132,132,132,0,0,44,30,0,52,54,52,54,54,26,52,56,0,0,0,22,0,34,30,30,0,18,34,0,28,30,34,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,100,98,50,66,64,54,72,72,42,70,48,66,50,0,44,42,42,42,34,46,46,46,78,78,80,46,38,38,72,72,74,72,44,44,44,130,30,26,70,40,70,72,72,56,38,36,58,70,72,62,80,76,80,80,130,130,130,24,30,24,0,0,0,0,58,32,30,0,0,60,60,0,0,30,136,42,42,0,0,0,28,30,0,0,0,0,132,132,132,0,0,44,30,0,52,54,52,54,54,26,52,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,0,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,92,92,92,42,74,64,58,64,64,48,70,48,66,46,46,42,42,42,42,34,46,46,44,82,82,82,46,38,38,72,72,72,72,0,0,0,130,30,26,70,40,70,72,72,56,34,0,58,72,72,60,80,76,80,80,0,0,0,24,30,24,28,26,28,0,58,32,30,46,46,60,60,0,0,30,136,42,42,0,0,0,28,30,0,0,0,0,132,132,132,0,0,44,30,0,52,52,50,58,58,26,52,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,0,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,98,96,50,70,70,66,70,70,48,48,48,66,48,48,42,42,42,42,34,44,46,44,82,82,82,46,38,38,68,70,70,70,46,0,0,130,30,26,72,40,70,72,72,56,36,34,56,70,72,68,80,76,80,80,0,0,0,24,30,24,28,28,28,0,58,32,30,0,0,60,60,0,0,30,136,42,42,0,0,0,26,34,0,0,0,0,132,132,132,0,0,44,30,0,52,52,50,58,58,26,52,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,98,96,50,74,70,66,70,70,48,66,48,60,50,46,42,42,44,44,34,46,46,46,82,80,80,46,38,38,70,72,68,70,0,0,0,130,30,26,72,40,60,60,60,54,36,34,60,70,72,68,80,76,80,80,130,130,130,26,30,24,30,30,28,0,58,32,30,48,46,60,58,30,0,30,136,0,42,0,0,0,26,34,0,0,0,0,132,132,132,0,0,44,30,26,52,54,52,58,58,26,56,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,98,96,50,76,70,66,70,70,46,66,48,64,48,48,42,44,44,44,34,44,44,44,82,82,82,44,38,38,72,72,70,70,48,46,46,130,30,26,70,40,60,60,60,54,34,36,56,72,72,66,80,76,80,80,0,0,0,26,28,32,0,0,0,0,58,32,30,48,48,60,58,30,60,30,136,42,42,24,0,26,26,34,30,30,0,0,132,132,132,0,0,44,30,26,52,54,52,58,58,26,56,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,100,98,50,74,72,68,72,72,46,66,48,62,48,0,44,44,42,44,34,46,44,44,82,82,82,44,38,38,70,70,68,68,44,44,44,130,30,26,72,44,60,60,60,54,38,36,46,74,70,64,80,76,80,80,130,130,130,26,28,32,30,30,30,0,58,32,30,0,0,60,44,30,60,30,136,42,42,0,0,0,26,34,0,0,0,0,132,132,132,0,0,46,30,26,52,54,52,58,58,26,56,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,100,98,40,76,64,56,64,64,46,66,50,58,48,46,42,42,42,42,34,44,44,44,78,78,78,44,40,44,68,70,68,68,46,48,0,130,30,26,72,44,60,60,60,54,0,0,62,74,70,64,80,76,80,80,0,0,130,26,28,32,30,30,28,0,58,32,30,46,46,62,60,30,60,30,136,42,42,0,0,0,26,34,0,0,0,0,132,132,132,0,0,46,30,26,52,54,52,58,60,26,56,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,98,96,48,78,70,68,70,70,46,66,50,62,48,0,44,42,42,42,36,44,44,44,78,78,80,44,36,36,68,70,68,66,48,44,46,130,30,26,72,44,60,60,60,54,38,38,62,74,70,64,80,74,80,80,0,0,0,26,28,32,30,30,30,0,58,32,30,0,0,62,62,30,58,30,134,42,40,0,0,24,26,34,0,0,0,0,132,0,132,0,0,46,30,26,52,54,52,58,60,26,56,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,98,96,50,72,70,68,72,72,46,66,50,66,48,48,46,38,40,40,34,44,44,44,80,78,78,44,38,42,0,0,0,0,46,46,46,130,30,26,72,44,60,60,60,54,36,38,62,72,70,66,74,78,74,74,130,130,130,26,28,32,32,32,30,0,58,32,30,48,48,60,62,30,58,30,134,42,40,0,0,0,26,34,0,0,0,0,132,0,132,0,0,46,30,26,52,54,52,58,60,26,56,56,0,0,0,22,0,34,30,30,0,0,34,0,28,30,36,0,16,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,100,96,50,72,70,64,72,72,50,66,50,66,52,0,44,42,42,44,34,44,44,44,78,80,78,44,38,38,70,68,68,68,44,44,44,130,30,26,72,44,60,60,60,54,36,36,62,72,72,70,74,78,74,74,0,0,0,26,28,32,0,0,0,0,58,32,30,0,0,62,62,30,58,30,134,46,44,0,0,18,26,34,0,32,34,36,132,0,132,0,0,46,30,26,52,54,52,58,60,26,56,56,0,0,0,22,0,34,30,30,0,0,32,0,28,30,36,0,0,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,98,98,96,50,74,70,68,72,72,50,44,50,66,52,0,44,42,44,42,34,44,44,44,80,80,78,44,38,38,70,72,70,70,44,44,46,130,30,26,72,42,60,60,60,54,38,36,62,72,72,70,74,78,74,74,130,130,130,26,28,32,32,30,30,0,0,32,30,0,0,62,62,30,58,30,134,46,44,0,0,0,26,34,0,0,34,36,132,132,132,0,0,44,0,26,52,54,52,58,60,26,56,56,0,0,0,0,0,34,30,30,0,0,32,0,28,28,36,0,0,22,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,98,98,98,50,74,70,68,72,72,50,70,50,56,46,46,42,44,44,42,34,44,44,44,82,82,82,44,38,38,70,68,68,68,46,0,0,130,30,26,70,42,60,60,60,50,36,0,60,72,72,50,78,80,74,78,130,130,130,26,28,32,30,30,0,28,0,32,30,46,46,60,62,30,58,30,136,46,44,0,0,0,26,34,0,0,34,36,132,132,132,0,0,44,0,26,50,54,52,58,60,26,56,52,0,0,0,0,0,34,30,30,0,0,32,0,28,28,36,0,0,22,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,96,100,98,50,74,72,56,72,72,44,64,50,64,48,0,42,44,42,42,36,44,44,44,82,82,82,44,40,38,72,72,72,70,46,46,44,130,30,26,74,42,60,60,60,50,36,34,60,72,70,74,78,80,74,78,0,0,0,26,28,32,0,0,0,28,0,32,30,0,0,60,62,30,58,30,138,46,42,0,0,0,26,34,0,0,34,34,132,132,132,0,18,44,0,26,50,54,52,58,60,26,56,52,0,0,0,0,0,34,30,30,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,98,100,98,50,72,72,56,72,72,44,64,50,62,48,48,40,42,42,42,34,44,46,44,82,82,82,46,38,38,72,72,72,72,0,0,46,130,30,26,74,42,60,60,60,50,36,34,62,70,70,64,74,80,76,78,130,130,130,26,28,32,32,30,28,28,0,32,30,48,48,62,62,30,58,30,138,46,42,0,0,0,26,34,0,0,34,34,132,132,134,0,0,44,0,26,50,54,52,58,60,26,56,52,0,0,0,0,0,34,30,30,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,96,98,96,48,74,72,56,72,72,52,66,50,62,52,0,42,42,42,42,34,44,44,44,82,82,82,44,38,38,74,72,72,72,48,46,46,130,30,28,72,42,60,60,60,50,0,0,62,72,72,68,74,80,76,78,0,0,0,32,28,26,28,38,0,28,0,32,30,0,0,62,62,30,58,30,138,46,46,0,0,0,26,36,0,0,34,34,132,132,134,0,0,44,0,26,50,54,52,58,60,26,56,52,0,0,0,0,0,34,34,30,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,98,100,96,48,72,64,54,62,64,52,66,50,62,52,46,42,42,42,44,34,44,44,44,82,82,82,44,40,38,72,70,72,72,0,0,0,130,0,28,72,42,70,70,70,50,36,0,62,70,70,64,74,80,76,78,130,130,130,32,28,26,0,0,0,28,54,0,0,46,46,62,62,30,58,0,138,46,46,0,0,0,26,36,0,0,34,34,132,132,134,0,0,44,0,26,50,54,52,58,60,26,56,52,0,0,0,0,0,34,34,0,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,98,98,96,44,74,72,66,72,70,48,66,50,62,48,48,42,42,44,42,34,46,46,46,82,80,82,46,44,38,72,72,70,72,0,0,46,130,0,28,72,42,70,70,70,50,36,36,58,72,72,66,74,76,76,78,0,0,0,32,28,26,0,0,0,28,54,30,0,46,46,62,42,30,46,0,138,44,46,22,24,22,26,36,32,30,34,34,132,132,134,0,0,44,0,26,50,36,52,58,60,24,56,52,0,0,0,0,0,34,34,32,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,96,98,98,52,74,62,30,72,72,48,70,50,54,48,0,40,44,42,44,34,46,46,44,82,82,82,44,40,38,72,72,72,72,48,44,44,130,0,28,70,44,70,70,70,50,36,32,44,70,72,66,74,76,76,78,130,130,130,32,28,26,30,32,32,28,54,30,0,0,0,42,44,30,46,0,136,44,46,0,0,0,26,36,0,0,34,34,132,132,134,0,0,44,0,26,50,36,52,58,60,24,56,52,0,0,0,0,0,34,34,32,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,98,100,98,54,76,64,54,72,72,48,70,50,68,48,46,42,42,42,42,34,44,44,44,82,82,82,44,38,38,74,72,72,72,46,46,46,130,0,28,72,44,60,60,60,50,0,36,62,72,72,68,74,76,76,78,0,0,0,26,28,26,0,0,0,28,52,30,0,46,48,42,44,30,46,0,136,44,46,0,0,0,0,36,0,0,34,34,132,132,134,0,0,44,0,26,50,50,52,58,60,24,56,52,0,0,0,0,0,34,34,32,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,96,100,98,54,76,72,66,72,70,48,66,50,58,50,46,42,42,42,40,34,44,44,44,82,82,82,44,38,38,74,72,72,72,46,0,0,130,0,28,72,44,60,70,72,50,34,34,62,72,72,68,80,76,76,78,130,130,130,26,28,26,0,0,0,28,62,30,0,46,46,62,62,30,46,0,136,44,46,0,0,0,0,36,0,0,34,34,132,132,134,0,0,44,0,26,52,56,52,58,60,24,56,52,0,0,0,0,0,34,34,32,0,0,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,96,100,98,54,74,72,66,72,70,50,66,50,66,50,0,42,42,42,42,34,44,44,44,82,82,82,44,0,0,72,72,74,72,46,46,48,130,0,28,72,44,60,70,72,50,34,34,62,72,72,68,80,76,76,78,0,0,0,26,28,26,0,0,0,28,62,30,0,0,0,62,62,30,46,0,136,46,44,26,26,0,0,36,30,30,34,34,132,132,134,0,0,44,0,26,52,38,52,60,58,24,56,52,0,0,0,0,0,34,34,32,0,24,34,24,28,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,92,94,92,42,74,72,68,72,70,50,66,50,64,48,0,42,42,42,42,34,44,44,44,78,80,78,44,38,38,74,74,74,74,50,44,44,130,0,28,72,42,60,70,72,50,34,34,62,72,72,68,80,76,76,78,130,130,130,26,28,26,0,0,0,28,62,30,0,0,0,62,62,30,46,0,136,46,44,0,0,0,0,36,0,0,34,34,132,134,132,0,0,46,50,26,52,38,52,60,58,24,56,52,0,0,0,0,0,34,34,32,0,24,32,24,0,28,34,0,0,24,46,28,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,98,100,98,50,72,72,68,72,70,50,66,50,60,48,48,42,44,42,42,34,44,44,44,80,78,78,44,38,38,72,72,72,72,50,0,0,130,0,28,72,42,60,70,72,50,34,34,62,72,72,68,80,76,76,78,0,0,0,26,28,26,0,0,0,28,62,30,32,46,46,62,62,30,46,0,50,46,44,24,0,26,0,36,0,0,34,34,132,134,132,0,0,46,50,26,52,38,52,58,58,26,56,52,0,0,0,0,0,34,34,32,0,24,32,24,0,28,34,0,0,24,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,98,98,98,50,70,70,68,70,70,50,66,50,60,48,48,44,46,42,42,34,44,44,44,78,78,78,44,38,38,74,74,74,74,44,44,44,130,0,28,72,42,60,70,72,56,36,36,62,72,72,68,80,76,76,78,0,0,0,26,28,26,0,0,0,28,62,30,32,0,48,62,62,30,46,0,138,46,26,0,0,0,0,36,0,0,34,36,132,134,132,0,20,46,50,26,52,38,52,58,58,26,56,56,0,0,0,0,0,34,34,32,0,24,32,24,0,28,34,0,0,24,46,28,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,96,98,96,50,76,72,68,72,72,50,66,50,64,48,48,42,42,42,42,36,44,44,44,80,78,78,44,38,38,72,72,72,74,46,48,46,130,0,28,72,42,60,70,72,56,0,0,20,72,70,64,78,80,78,78,130,130,130,26,28,26,0,0,0,28,62,30,32,48,48,62,62,30,46,0,138,46,26,0,0,0,0,36,0,0,34,36,134,134,132,0,0,46,50,26,52,38,52,58,58,22,56,56,0,0,28,0,28,34,34,32,0,24,34,24,0,28,34,0,0,24,46,28,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,98,100,98,42,74,72,68,72,72,50,66,50,64,50,46,46,44,44,44,32,44,44,44,78,78,78,44,38,38,70,70,68,70,48,0,0,130,0,28,72,42,60,70,72,56,34,0,20,70,70,68,78,78,78,78,0,0,0,26,28,26,30,0,0,28,62,30,30,46,46,62,62,30,46,32,132,46,26,0,0,0,0,36,0,0,34,36,134,134,132,0,0,46,50,28,52,54,52,54,54,22,56,56,0,0,28,0,28,34,34,28,0,24,34,24,0,28,34,0,0,24,46,28,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,98,100,98,42,74,64,64,72,72,50,24,50,64,48,0,42,42,42,42,34,44,44,44,78,78,80,44,38,0,70,72,72,72,44,44,44,128,0,28,72,42,60,70,72,56,36,36,62,70,70,68,78,78,78,78,0,0,0,26,28,26,0,0,0,28,62,30,30,0,0,62,42,30,46,32,132,46,26,0,0,0,28,36,0,0,34,36,134,134,132,0,0,46,50,28,52,54,52,54,54,22,56,56,0,0,28,0,28,34,34,28,0,24,34,24,0,0,34,0,0,24,46,28,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,98,98,98,50,72,64,58,64,64,50,66,50,56,46,48,44,44,42,44,34,44,44,44,80,78,78,44,38,38,70,68,68,70,50,48,0,130,0,28,70,42,70,70,70,56,0,0,60,72,72,50,78,78,78,78,130,130,130,26,28,26,32,32,30,0,60,30,30,46,48,62,60,0,46,32,132,46,26,0,0,0,28,36,0,0,34,36,134,134,132,0,0,46,50,28,52,50,52,54,54,22,56,56,0,32,28,0,28,34,34,28,0,24,34,24,0,0,34,0,0,24,46,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,100,98,50,76,72,68,64,64,52,64,50,66,0,0,44,44,44,42,32,46,44,46,80,78,80,44,38,38,68,66,68,68,48,44,46,130,0,28,70,42,70,70,70,56,36,34,60,72,72,50,78,78,78,78,0,0,0,26,28,26,30,30,30,0,60,30,30,0,0,62,60,0,62,32,138,46,46,24,24,24,28,36,30,34,32,34,134,134,132,0,0,46,50,28,52,36,52,54,54,22,56,56,0,36,28,0,28,34,34,28,0,24,30,0,0,0,36,0,0,24,46,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,100,98,50,74,72,68,72,72,48,64,50,66,48,48,44,44,44,42,34,44,44,46,78,78,78,46,38,38,70,68,70,68,46,0,0,130,0,28,70,42,70,70,70,52,0,0,44,72,72,50,78,78,78,78,130,130,130,26,28,26,30,28,30,0,60,30,30,48,48,44,42,0,62,32,140,46,46,0,0,0,28,36,0,0,32,34,132,134,132,0,0,46,50,28,52,52,52,54,54,22,54,56,0,36,28,0,28,34,34,28,0,24,30,0,0,0,36,0,0,24,46,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,98,98,48,74,72,68,72,72,48,68,50,66,48,46,44,42,42,44,34,46,46,44,78,80,78,46,38,38,70,70,66,68,46,0,48,130,0,26,70,42,70,70,70,56,36,34,62,72,72,50,78,78,78,78,0,0,0,24,26,28,30,30,30,0,56,30,30,46,46,60,62,0,62,32,138,46,46,0,0,0,28,32,0,0,32,34,132,134,132,0,0,46,50,30,52,52,52,58,58,22,54,56,0,36,28,0,28,30,0,28,0,24,30,0,0,0,36,0,0,24,46,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,98,100,98,48,78,64,68,72,72,48,70,50,64,0,0,44,44,44,44,34,46,46,46,82,82,82,46,38,38,70,70,68,70,44,0,44,130,0,26,70,42,70,70,70,56,38,38,62,72,72,50,78,76,78,78,0,0,0,24,26,28,28,28,28,0,56,30,30,0,0,62,62,0,62,32,138,46,46,0,0,0,28,32,0,0,36,32,132,134,132,0,0,46,50,30,52,52,52,60,58,22,54,56,0,36,28,0,28,30,0,28,0,24,34,0,0,0,34,0,0,24,46,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
