room_num,de:9f:db:91:0e:dd,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,66:eb:8c:0b:20:6e,fa:8f:ca:76:7d:4c,74:3e:2b:bd:7e:12,74:3e:2b:bd:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:3d:7e:18,74:3e:2b:7d:86:b8,40:a8:f0:6b:41:44,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,30:46:9a:fb:c5:a3,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:7e:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:3e:9d:6c,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:7e:9c:dc,74:3e:2b:7c:b6:88,74:3e:2b:be:88:22,74:3e:2b:be:9d:62,74:3e:2b:7c:d2:d8,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:7d:6d:48,74:3e:2b:bc:fb:7c,74:3e:2b:7c:fb:7c,74:3e:2b:7c:fb:78,74:3e:2b:3e:9d:68,74:3e:2b:7e:9d:68,74:3e:2b:be:9d:68,74:3e:2b:be:c7:12,74:3e:2b:be:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:3e:c7:18,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:be:88:28,74:3e:2b:7e:88:28,74:3e:2b:3e:88:28,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:be:c7:52,ec:8c:a2:f2:7a:b8,74:3e:2b:be:1f:e8,74:3e:2b:3e:1f:e8,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:bc:fb:72,74:3e:2b:3c:fb:78,74:3e:2b:be:c7:58,32:cd:a7:fc:3b:2b,74:3e:2b:be:1f:e2,74:3e:2b:be:9c:d8,74:3e:2b:bd:86:b2,74:3e:2b:3d:86:b8,74:3e:2b:bc:d2:dc,74:3e:2b:7c:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:be:a3:38,74:3e:2b:7d:04:d8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:7d:6f:88,74:3e:2b:3d:6f:88,74:3e:2b:be:9c:d2,74:3e:2b:7e:9c:d8,74:3e:2b:3e:9c:d8,1c:b0:44:cd:a2:48,74:3e:2b:bc:b6:8c,74:3e:2b:3c:d2:d8,b4:2a:0e:c7:0f:ae,74:3e:2b:7e:c7:58,74:3e:2b:bc:d4:22,74:3e:2b:7c:d4:28,74:3e:2b:3c:d4:28,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,ae:63:be:86:5c:03,74:3e:2b:bd:6d:42,74:3e:2b:3d:6d:48,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7d:6e:68,14:2d:27:37:99:60,74:3e:2b:3d:6e:68,74:3e:2b:bd:04:d2,74:3e:2b:3d:04:d8,74:3e:2b:7e:1f:e8,c8:3a:35:90:b2:11,78:29:ed:4c:b2:51,74:3e:2b:bd:6f:88,fa:8f:ca:54:a2:6d,74:3e:2b:bc:b6:82,74:3e:2b:3c:b6:88,74:3e:2b:bd:6f:82,a0:64:8f:f7:d1:1d,74:3e:2b:7c:d5:08,40:49:0f:c3:fa:7b,74:3e:2b:bc:d2:d2,74:3e:2b:3e:c7:58,b8:ee:0e:d6:53:72,74:3e:2b:fe:88:2c,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,f8:f5:32:28:2d:c0,74:3e:2b:be:a3:32,74:3e:2b:fe:c7:5c,74:3e:2b:bd:04:dc,a8:9a:93:8a:84:7e,a0:8c:fd:6c:7d:10,2c:30:33:f8:b8:b9,b4:2a:0e:10:47:0a,10:86:8c:18:48:e8,74:3e:2b:be:c7:5c,74:3e:2b:3c:b6:8c,58:90:43:45:2b:e4,74:3e:2b:7d:6a:e8,74:3e:2b:7c:b6:8c,74:3e:2b:7e:c7:5c,74:3e:2b:3e:c7:5c,74:3e:2b:7e:88:2c,74:3e:2b:be:88:2c,74:3e:2b:7d:05:58,74:3e:2b:3e:88:2c
2,38,96,100,96,54,80,70,62,70,70,44,74,38,58,46,42,42,46,44,44,34,44,46,44,78,78,78,46,36,38,66,66,68,68,0,0,0,130,28,30,70,26,68,68,68,50,32,32,58,70,72,24,80,82,80,80,0,0,0,26,28,28,0,0,0,26,48,28,28,42,42,58,56,32,58,30,138,42,38,0,0,0,30,34,26,28,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,94,94,94,54,70,70,54,70,70,44,68,38,58,46,46,40,40,40,42,28,46,48,46,78,78,78,46,38,40,66,66,66,64,48,50,46,130,28,30,70,26,68,68,68,50,32,0,56,70,72,24,80,68,80,80,0,0,0,26,28,28,0,0,0,26,48,28,28,0,0,56,56,32,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,94,96,94,42,70,70,54,70,70,44,72,38,58,48,48,44,44,44,46,34,46,46,46,80,80,80,46,38,40,60,64,62,62,50,48,48,130,28,26,72,42,68,68,68,50,36,34,56,72,72,64,80,68,80,80,0,0,0,26,28,28,0,0,0,26,58,28,28,48,0,56,56,32,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,100,100,100,42,74,70,66,72,70,44,72,38,58,48,48,42,42,42,42,32,50,50,50,78,78,78,50,36,36,64,64,64,62,46,44,42,130,28,26,72,42,56,56,56,50,36,34,56,72,74,68,78,84,80,80,130,130,130,30,28,28,30,30,30,26,52,28,28,0,0,56,56,32,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,96,100,96,44,74,70,66,72,70,44,72,38,54,46,48,46,46,46,46,30,48,48,48,80,78,80,48,38,36,66,66,68,66,46,46,46,128,28,26,70,42,56,56,56,50,0,0,62,70,70,66,80,88,80,82,128,128,130,30,28,28,0,0,0,26,52,28,28,0,0,56,56,32,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,96,94,96,44,76,70,66,72,70,44,74,38,60,0,0,52,46,48,50,36,48,46,0,84,84,84,46,0,0,68,68,66,66,40,40,40,130,28,30,70,42,66,66,66,50,0,32,58,70,72,64,82,86,82,82,130,130,130,26,28,28,0,0,0,32,56,28,28,0,46,56,56,32,58,30,108,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,52,54,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,100,96,54,70,70,66,72,70,44,74,38,60,46,46,42,42,42,42,36,0,0,0,78,78,78,0,38,38,68,62,62,66,42,42,42,130,28,30,70,42,66,66,66,50,36,36,60,70,72,64,78,70,78,78,128,128,130,26,28,28,0,0,0,32,56,28,28,46,46,56,56,32,58,30,138,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,52,54,52,54,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,98,96,52,78,70,66,70,70,44,72,36,54,0,0,40,42,42,40,34,0,0,0,82,82,82,0,38,38,66,66,66,66,46,44,44,130,28,30,74,42,70,70,70,50,34,34,62,74,74,78,82,88,82,82,128,128,130,26,28,28,0,0,0,32,58,28,28,0,46,62,62,32,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,52,54,52,54,54,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,98,96,96,52,74,72,70,72,72,44,72,36,54,0,0,44,44,44,44,36,50,50,50,80,80,80,50,36,38,68,66,68,68,44,44,44,130,28,30,74,42,66,66,66,56,34,34,62,74,74,72,80,60,80,80,130,130,130,30,34,30,0,0,0,32,60,28,28,0,0,62,62,32,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,52,54,52,54,54,22,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,100,100,102,56,74,72,70,72,72,44,66,36,54,46,0,48,48,48,48,34,48,48,48,84,84,84,48,38,36,64,62,62,60,42,42,42,130,0,30,74,48,72,66,66,56,38,36,62,74,74,72,78,80,78,78,130,130,130,30,34,30,28,28,28,28,60,28,28,0,0,62,62,26,58,30,136,42,38,0,0,0,30,34,0,0,40,36,132,134,134,24,0,42,30,28,52,54,52,54,54,22,54,54,30,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
