room_num,40:a8:f0:6b:41:44,14:2d:27:37:99:60,74:3e:2b:3e:9c:d8,74:3e:2b:7e:9c:d8,74:3e:2b:be:9c:d2,74:3e:2b:7c:d4:28,74:3e:2b:3d:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:bd:7e:18,74:3e:2b:bd:7e:12,74:3e:2b:be:9c:d8,74:3e:2b:3c:fb:78,74:3e:2b:7c:fb:78,74:3e:2b:bc:fb:72,74:3e:2b:3d:6d:48,74:3e:2b:7d:6d:48,74:3e:2b:bd:6d:42,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:3d:86:b8,74:3e:2b:3e:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:be:c7:18,74:3e:2b:be:c7:12,74:3e:2b:be:9d:68,66:eb:8c:0b:20:6e,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,fa:8f:ca:76:7d:4c,ec:8c:a2:f2:7a:b8,74:3e:2b:bc:fb:7c,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:7c:fb:7c,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7e:9d:6c,74:3e:2b:3e:9d:6c,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:04:dc,74:3e:2b:7d:04:dc,74:3e:2b:3d:04:dc,74:3e:2b:7e:9c:dc,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:be:9d:62,74:3e:2b:7e:9d:68,74:3e:2b:3e:9d:68,74:3e:2b:bc:b6:8c,74:3e:2b:7c:b6:88,74:3e:2b:7d:86:b8,74:3e:2b:bc:d4:22,c8:3a:35:90:b2:11,32:cd:a7:fc:3b:2b,74:3e:2b:7d:6e:68,74:3e:2b:3d:6e:68,74:3e:2b:bc:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:bc:d2:d2,74:3e:2b:7c:d2:d8,74:3e:2b:3c:d2:d8,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,74:3e:2b:7d:04:d8,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,de:9f:db:91:0e:dd,2c:30:33:f8:b8:b9,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:3c:d4:28,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7c:d2:dc,74:3e:2b:3d:04:d8,74:3e:2b:bd:04:d2,b4:2a:0e:c7:0f:ae,74:3e:2b:bd:86:b2,fa:8f:ca:54:a2:6d,74:3e:2b:be:1f:e8,b8:ee:0e:d6:53:72,74:3e:2b:bd:6f:88,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,74:3e:2b:be:a3:32,74:3e:2b:3d:6f:88,74:3e:2b:bc:b6:82,78:29:ed:4c:b2:51,74:3e:2b:be:88:28,74:3e:2b:be:c7:58,74:3e:2b:bd:6f:82,74:3e:2b:7d:6f:88,74:3e:2b:3c:b6:88,10:86:8c:18:48:e8,58:20:b1:3c:74:1f,74:3e:2b:7c:d5:08,74:3e:2b:be:a3:38
3,48,26,106,108,110,44,52,50,50,56,108,42,36,50,0,62,50,32,48,0,68,62,60,64,66,44,82,86,84,66,60,30,32,32,30,34,28,56,56,60,56,56,60,60,106,106,106,34,34,32,54,54,54,54,30,34,28,106,46,46,46,44,58,54,54,34,36,58,56,58,16,26,36,0,0,40,0,0,0,0,50,54,52,30,32,30,0,0,0,0,26,24,22,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,108,110,44,52,50,50,56,104,42,42,50,0,62,50,32,48,0,68,62,60,64,66,44,82,88,84,66,60,26,32,34,32,32,26,0,0,60,0,0,60,60,106,106,106,30,30,32,52,52,54,54,30,28,30,106,46,44,46,44,58,54,54,38,36,58,56,58,0,24,36,0,0,40,0,0,20,22,0,0,0,30,32,30,0,0,0,0,0,0,0,38,28,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,108,110,44,52,50,46,56,104,42,58,50,0,42,50,32,48,0,68,62,60,64,66,30,82,88,82,66,52,28,32,0,0,0,28,56,56,60,56,56,60,60,0,0,0,0,0,0,54,56,54,54,28,30,30,108,46,44,44,44,46,44,46,36,36,58,56,58,0,24,36,0,0,40,0,0,0,0,0,52,0,30,32,30,0,0,0,0,0,0,0,38,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,108,110,44,52,50,46,56,106,42,58,50,52,60,54,32,48,0,68,56,60,56,66,30,82,88,82,64,52,0,32,32,0,0,0,54,56,60,56,56,60,60,106,106,106,0,32,32,54,54,56,56,28,28,30,106,44,44,44,44,46,44,46,0,0,58,56,58,0,24,26,40,0,40,32,28,22,0,0,52,0,30,32,30,0,0,0,0,0,0,0,44,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,108,110,44,52,50,46,56,104,42,58,50,50,44,50,32,48,0,68,56,60,56,66,30,82,88,82,66,52,26,34,40,0,0,28,54,54,60,54,54,60,60,0,0,0,32,0,0,60,56,56,56,30,30,30,106,44,46,44,44,46,44,46,34,0,58,56,58,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,30,0,0,0,0,0,0,0,44,28,34,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,50,48,52,32,40,42,40,50,44,50,32,48,0,68,56,60,56,66,30,80,84,50,66,52,0,34,32,34,32,0,56,56,60,56,54,60,60,0,0,0,32,34,32,54,54,54,54,30,30,30,106,42,42,44,42,46,44,46,36,36,58,56,58,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,30,0,0,0,0,0,0,0,44,28,34,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,50,48,52,106,40,42,40,50,42,50,32,48,0,68,56,60,56,66,30,82,86,82,66,54,28,34,34,0,0,28,56,56,60,56,56,60,60,0,0,0,0,0,0,54,54,54,54,30,28,28,108,46,46,46,44,54,54,54,36,38,58,56,58,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,30,0,0,0,26,20,26,24,44,28,34,0,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,52,110,38,42,40,50,42,50,32,48,0,68,58,62,56,66,30,78,84,78,66,54,26,32,32,32,32,28,56,56,60,56,56,60,60,0,0,0,34,32,32,54,52,52,52,30,30,30,108,46,46,44,46,54,54,54,36,36,0,0,0,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,30,0,0,0,26,0,0,0,44,28,34,0,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,52,110,38,42,40,50,42,50,32,48,0,68,58,62,56,66,30,78,84,78,66,54,0,34,34,0,0,0,54,54,62,54,54,62,62,108,108,108,32,30,30,56,54,54,54,28,30,28,108,46,48,46,44,54,54,54,36,36,0,0,0,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,40,0,0,0,26,24,24,24,44,28,34,0,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,52,32,38,42,40,50,42,50,32,48,0,58,58,56,60,66,30,82,88,82,40,54,28,34,32,34,0,30,56,56,60,56,56,60,60,0,0,0,32,32,32,52,54,54,52,28,28,30,108,44,44,44,44,54,54,54,38,36,0,0,0,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,40,0,0,0,26,0,0,0,44,28,34,0,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,52,32,38,42,40,50,42,50,32,48,0,58,60,60,62,66,30,82,88,82,64,54,26,0,0,0,0,28,54,56,62,54,54,62,62,106,108,108,30,32,32,54,54,54,54,28,28,30,108,48,44,46,44,54,54,54,36,36,64,64,64,0,24,26,40,0,40,32,28,0,0,0,52,0,30,32,40,0,0,0,26,22,20,22,44,28,34,0,46,46,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,56,32,38,42,40,50,42,50,42,70,0,58,60,60,62,66,30,82,88,82,66,54,28,32,34,34,34,28,56,56,62,56,56,62,60,0,0,0,0,0,0,54,54,54,54,28,30,30,106,48,46,44,44,54,54,54,38,36,64,64,64,18,24,26,40,0,40,32,28,0,0,0,52,0,42,42,40,0,0,24,26,0,0,0,44,28,34,0,46,46,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,56,22,38,42,40,50,42,50,42,56,0,58,60,60,62,66,30,82,86,82,66,54,0,0,0,0,0,0,56,56,64,56,56,62,62,106,106,106,32,32,32,56,54,56,54,30,30,30,106,48,44,46,46,54,54,54,36,36,64,64,64,0,24,26,40,0,42,32,28,0,0,40,36,38,42,42,40,0,0,24,26,22,22,22,44,28,34,0,46,46,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,108,110,44,52,52,48,56,22,38,42,40,50,42,50,42,56,0,58,60,60,62,66,30,82,86,82,64,42,28,34,0,0,0,28,56,56,60,56,56,62,62,0,0,0,0,0,0,54,54,54,54,28,30,30,106,48,46,46,48,48,54,44,36,36,64,64,64,0,24,26,40,0,42,32,28,0,0,40,36,38,42,42,42,0,24,24,26,0,0,0,44,28,34,0,46,46,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,0,0,44,52,52,48,56,108,38,42,40,52,58,50,42,56,0,64,64,58,64,66,30,82,92,80,66,42,0,32,32,34,34,0,56,56,62,56,56,62,62,106,106,108,34,32,32,54,54,54,56,30,30,30,108,46,44,46,46,48,54,44,38,36,64,64,64,0,24,26,40,0,42,32,28,22,20,40,36,38,42,42,42,0,0,24,26,0,0,0,44,30,34,24,46,46,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,0,0,44,52,52,48,56,104,38,42,40,52,58,50,42,56,0,64,64,58,64,66,30,82,92,80,64,60,28,34,32,0,0,30,56,56,66,56,56,62,62,0,0,0,0,0,0,52,52,52,54,30,30,30,106,44,44,44,44,48,54,44,0,0,64,64,64,0,24,26,40,0,42,32,28,0,0,40,36,38,42,42,42,0,0,24,26,0,0,0,44,30,34,0,36,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,54,26,106,0,0,44,52,52,48,56,106,38,42,40,52,58,52,42,56,0,60,60,60,60,66,30,82,90,82,64,60,30,34,0,32,34,28,54,54,62,54,54,62,62,106,106,106,0,30,34,54,56,52,54,30,30,28,106,46,46,44,46,48,54,44,36,36,64,64,64,0,24,26,40,0,42,32,28,22,20,40,36,38,42,42,42,0,0,24,26,0,0,0,44,30,34,24,36,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,26,106,0,0,44,52,52,46,56,106,38,42,40,50,58,52,42,56,0,60,60,60,60,62,30,82,88,80,64,60,28,0,0,0,0,0,54,54,66,54,54,62,62,0,0,0,34,0,0,52,54,52,54,28,30,30,106,46,44,46,44,48,54,44,36,36,64,64,64,0,24,26,40,0,42,32,28,0,0,40,36,38,42,42,42,0,22,24,24,0,0,0,44,30,34,0,36,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,26,106,0,0,44,52,52,46,56,106,32,36,40,50,58,52,42,56,0,60,60,60,60,62,30,80,86,82,36,60,30,34,32,32,32,0,56,54,62,56,54,60,60,106,106,106,36,32,32,54,56,54,54,28,28,30,106,40,42,40,40,48,54,44,0,0,64,64,64,0,24,26,40,0,42,32,28,22,22,40,36,38,42,42,42,0,0,24,24,0,0,0,44,30,34,0,36,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40,26,106,0,0,44,52,52,46,56,106,32,36,40,50,50,52,42,56,0,60,60,60,60,62,30,80,86,82,38,60,28,34,0,0,0,28,52,54,64,54,54,62,62,0,0,0,0,0,0,54,54,54,54,30,30,28,106,46,46,48,44,48,54,44,36,38,64,64,64,0,0,0,0,0,42,0,0,0,0,40,56,38,42,42,30,0,0,24,26,0,0,0,0,30,0,0,34,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,0,0,44,56,52,48,54,106,52,36,40,50,50,52,42,56,0,66,62,58,62,62,30,78,84,80,40,60,0,32,0,36,0,26,54,54,64,54,54,62,62,0,0,0,0,0,0,54,54,54,54,30,28,28,106,44,50,46,46,48,54,44,0,0,64,64,64,0,0,0,0,0,42,0,0,0,0,40,56,38,42,42,30,0,0,24,26,0,0,0,0,30,0,0,34,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,0,44,56,52,48,54,106,52,36,0,50,50,52,42,56,0,66,62,56,62,62,32,78,84,80,40,60,0,34,34,0,0,0,54,54,62,54,54,62,62,106,106,106,0,32,30,56,56,56,56,30,28,28,106,44,46,48,44,48,54,44,36,36,56,64,56,0,0,0,0,0,42,0,0,0,0,50,56,52,42,42,30,0,24,24,26,24,24,24,0,30,0,0,34,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,0,44,56,52,48,54,104,52,36,0,50,50,52,42,56,0,60,60,56,60,62,32,82,88,82,66,60,28,0,0,0,0,28,54,54,60,54,54,60,62,0,0,0,0,0,0,52,52,52,54,30,28,28,106,46,46,46,44,48,0,44,0,0,56,64,56,0,0,0,0,0,42,0,0,0,0,50,56,52,42,42,30,0,0,24,26,0,0,0,0,30,0,0,34,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,0,44,56,52,48,54,104,36,32,32,52,60,52,42,56,0,60,60,56,60,62,32,82,86,82,64,60,34,34,32,32,32,0,54,54,62,54,54,62,62,106,106,106,34,34,34,54,56,56,54,32,32,32,106,0,0,0,0,48,0,44,36,36,56,64,56,0,40,0,0,0,42,0,0,20,20,50,56,52,42,42,30,0,0,24,26,0,0,0,0,32,32,26,34,46,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,0,44,56,52,48,54,106,36,32,32,52,60,52,42,56,0,62,62,60,60,64,32,84,86,82,64,60,28,36,0,0,0,28,52,54,64,54,52,62,62,0,0,0,28,0,0,54,54,54,54,30,28,30,106,44,44,48,44,48,0,44,36,36,56,62,56,0,40,0,0,0,42,0,0,0,0,50,56,52,42,42,40,0,0,24,26,0,0,0,0,32,32,0,34,44,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,0,44,56,0,48,54,106,36,34,40,52,58,52,42,48,0,62,62,60,60,64,32,80,86,78,64,60,28,32,32,32,32,28,56,54,62,54,54,62,62,0,0,0,36,34,34,54,56,54,54,30,28,28,106,46,46,46,44,48,0,44,36,36,56,62,56,0,40,0,0,0,42,0,0,0,0,50,56,52,42,42,40,0,0,24,26,0,0,0,0,32,32,0,34,44,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,108,106,0,44,56,0,48,54,104,36,42,40,52,58,52,42,48,0,62,62,60,60,64,32,80,86,80,64,60,26,32,32,0,0,0,56,56,62,56,56,62,62,104,104,106,36,34,34,54,54,54,54,28,30,28,106,46,44,46,44,48,0,44,36,36,56,62,56,0,40,0,0,0,36,0,0,0,0,50,54,50,42,42,40,0,0,24,26,26,24,22,0,32,32,0,34,44,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,108,106,0,44,56,0,48,54,106,36,34,40,52,58,52,40,48,0,62,62,60,60,64,32,80,88,82,38,40,28,34,32,34,32,28,56,56,62,56,56,62,62,0,0,0,0,0,0,52,54,54,54,28,28,28,106,48,46,46,46,48,0,44,38,38,56,62,56,0,40,0,0,0,36,0,0,0,0,50,54,50,0,0,40,0,0,0,26,0,0,0,0,32,32,0,34,44,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,26,108,108,108,44,56,0,48,54,106,36,34,40,52,58,52,40,48,0,62,62,62,62,64,32,80,86,80,44,40,26,34,34,32,34,0,56,56,62,56,56,60,62,106,106,106,32,30,32,54,56,54,54,28,28,28,106,46,46,48,50,48,0,44,36,36,64,62,56,0,40,0,0,0,32,0,0,0,0,50,54,42,0,0,40,0,26,0,26,24,24,24,0,32,32,0,34,46,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,26,108,108,108,44,56,0,48,54,106,36,34,40,52,60,52,40,48,0,62,62,62,62,60,32,82,88,82,44,40,28,32,34,32,34,30,56,56,62,56,56,62,62,0,0,0,0,0,0,56,54,56,54,28,28,28,106,44,44,46,44,0,0,44,38,36,64,62,56,0,40,0,0,0,32,0,0,0,0,50,54,42,44,0,38,0,0,0,26,0,0,0,0,32,32,0,34,46,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,0,108,106,108,44,56,0,48,54,106,36,34,40,52,60,52,40,48,48,62,62,62,62,62,32,82,86,80,44,40,0,32,32,0,0,0,56,56,62,56,56,62,62,106,106,106,30,30,34,54,54,54,54,28,30,28,106,48,48,46,46,0,0,44,0,0,62,62,62,0,40,52,0,0,32,24,26,0,0,50,70,42,44,0,38,0,0,0,26,24,24,24,0,28,32,0,34,46,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42,0,108,106,108,0,56,0,48,54,106,36,34,40,52,60,52,40,48,48,62,62,62,62,62,28,80,84,80,44,40,28,34,32,34,34,28,54,54,62,54,54,62,62,0,0,0,0,0,0,54,56,54,54,28,28,30,108,44,46,46,48,0,0,44,0,0,62,62,62,16,40,52,0,0,32,24,26,0,0,50,70,42,44,44,38,0,0,24,26,0,0,0,0,28,32,0,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,108,106,106,0,56,0,48,54,102,36,34,40,52,60,52,40,48,48,62,62,62,62,62,28,82,86,82,40,40,0,32,32,0,0,0,54,54,62,54,54,62,62,106,106,106,36,34,34,54,54,54,54,28,30,30,106,46,46,46,46,0,0,44,36,38,62,62,64,0,40,52,0,0,34,30,26,0,0,50,70,42,44,44,38,0,0,24,26,24,24,24,0,28,32,0,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,108,106,106,0,56,0,46,54,106,36,42,40,52,60,52,40,48,48,62,62,62,62,60,28,82,86,82,66,58,28,32,0,30,0,30,54,56,62,56,54,62,62,0,0,0,0,0,0,54,54,54,54,32,30,30,106,44,46,44,44,58,58,56,34,36,62,62,64,0,40,52,0,0,34,30,26,0,0,50,70,42,44,44,34,0,0,24,26,0,0,0,0,28,32,0,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,108,106,106,0,56,0,46,54,104,36,42,40,52,60,52,40,48,48,62,62,62,62,60,28,80,86,80,64,58,28,32,0,0,0,0,56,56,66,56,56,62,62,106,106,108,32,34,34,52,52,52,52,0,0,0,108,46,44,46,44,58,58,56,34,36,62,62,64,0,40,36,0,0,34,30,26,0,0,50,70,42,44,44,34,0,0,24,26,0,0,0,0,28,34,0,34,46,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,108,106,106,0,56,0,46,54,104,36,42,40,52,60,52,40,48,48,62,62,62,62,64,28,80,86,80,66,60,28,34,0,0,0,30,54,54,62,54,54,62,62,0,0,0,0,0,0,54,52,54,56,28,30,30,108,48,46,48,46,58,58,56,36,36,62,62,64,0,40,36,0,0,34,30,26,0,0,50,70,42,44,44,34,0,0,24,0,0,0,0,0,28,34,0,0,46,0,34,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,0,108,106,106,44,0,0,46,0,104,36,42,40,52,58,52,40,48,30,62,62,62,62,64,28,82,86,82,66,60,0,0,0,0,0,0,56,56,62,56,56,62,62,106,106,108,34,34,34,52,54,52,54,32,28,28,108,40,40,42,40,58,58,56,0,0,62,62,64,0,24,36,38,0,34,30,26,22,0,50,70,42,44,44,34,0,0,24,0,0,0,0,48,28,34,24,0,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,0,108,106,106,44,0,0,46,0,104,36,42,40,52,58,52,40,48,30,62,62,62,62,64,72,80,86,82,66,60,28,32,32,32,32,30,56,56,62,56,56,62,62,0,0,0,0,0,0,56,52,52,50,30,28,30,108,44,46,44,46,58,58,56,34,34,62,62,64,16,24,38,38,0,34,30,26,0,0,50,70,42,44,44,34,0,0,24,26,0,0,0,48,28,34,0,0,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,0,108,106,106,44,0,0,46,0,106,36,46,40,52,58,52,40,42,30,62,62,62,62,64,32,80,86,82,66,60,30,34,34,32,32,0,56,56,62,56,56,62,62,106,106,108,32,0,32,52,52,52,52,30,30,30,108,46,46,46,46,58,58,56,34,34,62,62,64,0,24,38,40,0,34,28,26,22,22,50,70,42,44,44,34,0,0,24,26,0,0,0,48,28,34,20,0,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,0,108,106,106,44,0,0,46,0,106,0,46,40,52,58,52,40,42,30,62,62,56,62,64,32,80,86,80,42,62,30,32,0,0,0,28,56,56,62,56,56,62,62,0,0,0,0,0,0,58,54,56,56,30,30,28,108,48,48,46,48,60,58,60,36,36,62,62,64,0,24,38,40,0,34,28,26,0,0,50,70,42,44,44,42,0,0,24,26,0,0,0,48,28,34,0,48,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,108,106,106,44,0,0,46,0,106,0,44,40,52,58,52,40,42,30,58,62,56,62,64,32,82,88,80,62,62,30,32,32,32,32,28,56,56,62,56,56,62,62,106,106,108,30,32,32,54,54,54,54,30,28,32,108,48,46,46,46,60,58,60,36,38,62,62,64,0,24,38,40,0,34,28,26,20,22,50,70,42,44,44,42,0,0,24,26,0,0,0,48,28,34,24,48,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,0,110,110,110,44,0,0,46,0,110,0,44,40,52,58,52,40,42,30,58,62,56,62,64,32,80,88,80,60,62,30,32,32,0,0,30,54,54,62,54,54,62,62,108,108,108,30,30,32,54,54,52,56,30,28,28,108,48,48,50,46,60,58,60,36,36,62,62,62,0,24,38,40,0,34,28,26,0,0,50,56,50,44,44,28,0,0,24,26,24,20,0,48,28,34,0,42,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,0,110,110,110,44,0,0,46,0,110,0,38,40,52,58,52,40,42,30,62,64,60,62,64,26,84,86,82,60,62,28,32,32,32,32,28,54,54,62,0,54,62,62,0,0,0,0,0,0,54,52,52,54,28,30,30,108,48,48,46,46,60,58,60,36,36,62,62,62,0,24,38,40,0,34,28,26,0,0,50,56,50,38,30,36,0,0,24,26,0,0,0,48,28,34,0,42,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,110,110,110,42,0,0,46,0,110,0,38,40,52,58,52,0,42,30,60,60,60,62,64,26,80,86,80,60,62,0,32,0,0,0,0,54,54,64,54,56,62,62,106,108,108,0,0,0,54,52,52,52,36,28,30,108,46,48,46,46,60,58,60,36,36,62,62,62,0,24,38,38,0,34,28,30,20,0,50,34,40,38,30,36,0,0,24,26,0,0,0,40,28,34,0,42,46,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,32,0,110,110,110,42,0,0,48,0,106,0,38,40,52,44,50,0,42,30,60,60,60,62,62,26,80,86,80,60,62,26,32,32,0,0,28,54,56,62,54,56,62,62,0,0,0,0,0,0,54,54,54,54,28,28,0,106,48,48,46,46,46,46,60,36,38,62,62,62,0,24,38,38,0,34,28,30,0,0,50,34,40,38,30,42,0,0,24,44,0,0,0,40,28,34,0,46,46,0,36,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,110,110,110,42,52,50,50,52,106,0,38,40,52,44,50,0,44,30,58,56,60,56,62,26,84,88,84,64,52,28,34,32,32,32,0,54,54,62,54,54,62,62,0,0,0,32,0,0,54,54,54,52,28,28,28,106,46,48,48,46,46,46,60,38,36,62,62,62,0,24,38,38,0,34,28,30,0,0,50,34,40,38,30,42,0,0,24,44,0,0,0,40,28,34,0,46,46,0,36,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,78,0,108,108,108,42,52,50,50,52,108,0,38,40,52,44,50,0,44,30,58,56,56,56,66,26,82,88,84,64,52,0,32,0,0,0,0,54,56,64,56,54,66,62,106,106,108,32,30,32,54,54,54,54,30,28,28,108,44,44,44,44,46,46,60,32,36,64,64,62,0,24,38,38,0,34,28,30,0,0,50,34,40,38,30,42,0,0,24,44,24,20,22,40,28,34,0,46,46,0,36,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,0,108,108,108,42,52,50,50,52,108,0,38,40,52,44,50,0,44,30,58,56,56,56,60,28,82,88,82,66,52,28,32,34,34,32,28,54,54,64,54,56,64,64,0,0,0,32,0,0,54,54,52,54,28,28,28,108,48,46,46,46,46,46,60,36,38,64,64,62,0,24,38,38,0,34,28,30,0,0,50,34,40,38,30,42,0,0,0,22,0,0,0,40,28,34,0,46,46,0,36,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,108,108,108,42,52,50,50,52,108,0,52,40,52,44,50,0,44,30,56,56,60,56,60,28,82,88,82,60,52,0,32,32,32,32,0,54,54,68,54,54,64,64,106,106,106,34,32,32,52,54,54,54,28,30,28,106,46,46,46,46,46,46,60,34,36,64,64,62,0,28,38,38,0,0,28,30,20,0,50,34,40,38,30,42,0,0,0,22,0,0,0,38,28,34,22,46,46,0,36,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
