room_num,40:a8:f0:6b:41:44,14:2d:27:37:99:60,74:3e:2b:3e:9c:d8,74:3e:2b:7e:9c:d8,74:3e:2b:be:9c:d2,74:3e:2b:7c:d4:28,74:3e:2b:3d:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:bd:7e:18,74:3e:2b:bd:7e:12,74:3e:2b:be:9c:d8,74:3e:2b:3c:fb:78,74:3e:2b:7c:fb:78,74:3e:2b:bc:fb:72,74:3e:2b:3d:6d:48,74:3e:2b:7d:6d:48,74:3e:2b:bd:6d:42,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:3d:86:b8,74:3e:2b:3e:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:be:c7:18,74:3e:2b:be:c7:12,74:3e:2b:be:9d:68,66:eb:8c:0b:20:6e,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,fa:8f:ca:76:7d:4c,ec:8c:a2:f2:7a:b8,74:3e:2b:bc:fb:7c,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:7c:fb:7c,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7e:9d:6c,74:3e:2b:3e:9d:6c,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:04:dc,74:3e:2b:7d:04:dc,74:3e:2b:3d:04:dc,74:3e:2b:7e:9c:dc,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:be:9d:62,74:3e:2b:7e:9d:68,74:3e:2b:3e:9d:68,74:3e:2b:bc:b6:8c,74:3e:2b:7c:b6:88,74:3e:2b:7d:86:b8,74:3e:2b:bc:d4:22,c8:3a:35:90:b2:11,32:cd:a7:fc:3b:2b,74:3e:2b:7d:6e:68,74:3e:2b:3d:6e:68,74:3e:2b:bc:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:bc:d2:d2,74:3e:2b:7c:d2:d8,74:3e:2b:3c:d2:d8,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,74:3e:2b:7d:04:d8,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,de:9f:db:91:0e:dd,2c:30:33:f8:b8:b9,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:3c:d4:28,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7c:d2:dc,74:3e:2b:3d:04:d8,74:3e:2b:bd:04:d2,b4:2a:0e:c7:0f:ae,74:3e:2b:bd:86:b2,fa:8f:ca:54:a2:6d,74:3e:2b:be:1f:e8,b8:ee:0e:d6:53:72,74:3e:2b:bd:6f:88,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,74:3e:2b:be:a3:32,74:3e:2b:3d:6f:88,74:3e:2b:bc:b6:82,78:29:ed:4c:b2:51,74:3e:2b:be:88:28,74:3e:2b:be:c7:58,74:3e:2b:bd:6f:82,74:3e:2b:7d:6f:88,74:3e:2b:3c:b6:88,10:86:8c:18:48:e8,58:20:b1:3c:74:1f,74:3e:2b:7c:d5:08,74:3e:2b:be:a3:38
3,52,26,108,108,112,40,42,42,46,42,108,36,42,32,52,58,50,34,54,28,60,62,58,64,52,24,82,84,82,42,46,0,36,34,32,32,0,56,56,64,56,56,62,62,106,106,106,32,32,32,54,54,52,54,30,30,30,106,42,44,44,42,46,46,46,36,36,60,60,60,0,30,36,40,22,34,30,30,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,52,26,108,108,112,40,42,42,46,42,108,36,42,32,52,58,50,34,54,28,60,62,58,64,54,24,82,84,82,42,46,28,30,30,32,32,28,54,56,62,56,56,62,62,106,106,108,0,32,32,52,52,54,52,0,0,0,108,42,46,44,44,46,46,46,36,36,60,60,60,0,30,36,40,22,34,30,30,0,22,52,56,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,52,26,108,108,112,40,42,42,46,42,110,36,42,32,52,58,50,34,50,28,60,62,58,64,54,24,82,86,82,42,46,0,34,0,0,0,0,56,56,60,56,56,60,62,0,0,0,0,0,0,52,54,54,54,28,30,32,106,48,46,46,44,46,46,46,40,34,60,60,60,0,30,36,40,22,34,30,30,0,0,52,56,50,30,30,32,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,52,26,108,108,112,40,42,42,46,42,110,36,38,32,52,58,50,34,50,28,60,62,58,64,54,24,82,86,82,42,54,28,32,32,0,0,28,56,56,60,56,56,60,62,106,106,106,0,34,34,50,54,54,54,30,28,28,108,46,46,44,44,46,48,46,34,36,60,60,60,0,30,36,40,22,34,30,30,0,0,52,56,50,30,30,32,0,0,26,24,24,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,108,108,112,40,42,42,48,42,110,36,38,32,52,58,50,34,50,28,62,64,58,64,54,24,80,86,80,66,54,28,32,32,32,34,28,56,54,60,56,56,60,60,0,0,0,0,0,0,52,54,54,54,30,30,30,108,46,46,44,44,46,48,46,0,0,60,60,60,16,26,36,40,22,34,30,30,0,0,52,56,50,30,30,32,0,0,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,112,40,42,42,48,42,106,36,38,32,52,58,50,34,50,0,62,64,58,64,58,24,80,86,80,66,54,0,32,32,32,32,0,54,54,60,54,54,62,62,106,106,106,0,34,34,52,54,52,52,30,30,28,106,46,44,46,44,46,48,46,0,0,66,60,60,0,26,36,40,22,34,30,28,24,0,52,56,50,30,30,32,0,0,26,24,0,0,0,40,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,112,40,42,42,48,42,110,36,38,32,52,58,50,34,50,0,62,64,56,64,58,24,82,86,80,40,54,0,32,32,32,34,0,56,56,66,56,56,62,62,104,104,106,0,34,32,52,52,52,52,30,30,30,106,44,44,48,44,46,48,46,36,38,66,60,60,0,26,36,40,22,34,30,28,0,0,50,54,56,30,30,32,0,0,26,24,0,0,0,40,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,112,40,42,42,48,42,110,36,38,32,52,58,50,34,50,0,62,64,56,64,58,0,82,86,80,40,54,28,32,32,32,32,28,56,56,60,56,56,62,62,104,104,106,0,32,32,54,54,54,52,28,30,30,106,44,44,48,46,46,48,46,36,36,66,60,60,0,26,36,40,22,34,30,28,0,0,50,54,56,30,30,32,0,0,26,24,0,0,0,40,30,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,112,40,42,42,48,42,106,36,38,32,52,58,50,34,50,0,62,62,58,62,60,0,80,88,80,38,54,0,32,32,32,34,0,56,56,60,56,56,60,60,104,106,106,0,0,30,54,52,54,52,28,28,28,106,44,46,44,44,46,48,46,36,36,66,60,60,0,26,36,40,22,34,30,28,22,20,50,54,56,30,30,38,0,0,26,24,0,0,0,40,30,30,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,112,40,42,42,48,42,108,36,38,32,50,58,50,34,50,0,56,56,58,56,60,0,80,88,80,36,54,28,34,30,32,32,0,56,56,60,56,56,62,60,106,106,106,0,0,30,54,54,52,54,30,28,28,106,46,44,44,44,46,48,46,34,36,60,58,60,0,26,36,40,22,34,30,28,0,18,50,56,50,30,30,38,0,0,26,24,0,0,0,40,30,30,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
